URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Top10_Exposures,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/a/abingdon-health-ltd-ord-gbp0.00025,Abingdon Health Ltd ORD GBP0.00025,TRUE,ABDX,BLF79J4,Unspecified,## Not ETF,None,GBX,11,5.58,11,0%,0,27.8,25241,0.11,0.0558,0.11,0.278
https://www.hl.co.uk/shares/shares-search-results/a/abits-group-inc-npv,Abits Group Inc NPV,TRUE,ABTS,BS6TZY5,Unspecified,## Not ETF,None,USD,1.46,0.76,1.46,0%,0,4.56,3105,1.080513135,0.562458892,1.080513135,3.3747533543999997
https://www.hl.co.uk/shares/shares-search-results/a/abivax-eur0.01,Abivax EUR0.01,TRUE,ABVX,BYZZ7S4,Unspecified,## Not ETF,None,EUR,98.7,60.45,98.7,0%,0,8760000000,92586,84.73498734,51.896960329500004,84.73498734,7520552068
https://www.hl.co.uk/shares/shares-search-results/a/abm-industries-inc-common-stock-usd0.01,ABM Industries Inc Common Stock USD0.01,TRUE,ABM,2024901,Unspecified,## Not ETF,None,USD,49.48,37,49.48,2.36%,17.99,2920000000,190429,36.619034205199995,27.38286713,36.619034205199995,2161026271
https://www.hl.co.uk/shares/shares-search-results/a/abn-amro-bank-nv-dr-each-repr-1-share,ABN Amro Bank NV DR Each Repr 1 Share,FALSE,ABN,BYQP136,Unspecified,## Not ETF,None,EUR,42.93,24.49,42.93,3.59%,17.71,27670000000,1887579,36.85585619,21.02492239,36.85585619,23754985812
https://www.hl.co.uk/shares/shares-search-results/a/abrasilver-resource-corp-npv,AbraSilver Resource Corp NPV,TRUE,ABRA,BR4XSQ5,Unspecified,## Not ETF,None,CAD,15.3,5.37,15.3,0%,0,2630000000,671195,8.173494855,2.8687364294999997,8.173494855,1404986371
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-diversified-income-and-growth-trust,Abrdn Diversified Income & Growth Trust,TRUE,ADIG,0129756,Trust,## Not ETF,"abrdn Liquidity-Sterling Fund Z-1 IncGBP (19.54387%), SL CAP INFRA EUR (17.36859%), United Kingdom of Great Britain and Northern Irela (11.44681%), BURFORD OPPORTUN USD (9.49514%), BONACCORD USD (7.95523%), ANDEAN SOCIAL USD (7.77840%), Blackrock Ast Mgmt (3.28129%), Aberdeen Eur (2.02750%), Cheyne Property Gbp (1.85657%), PIMCO PRIVATE USD (1.38702%)",GBX,0,0,12.3,251.31%,99999.99,37.1,0,0,0,0.12300000000000001,0.371
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-emerging-markets-ex-china-fund-inc,abrdn Emerging Markets ex-China Fund Inc,TRUE,AEF,2193566,Unspecified,## Not ETF,None,USD,10.03,6.25,10.03,8.06%,4.21,405.2,52225,7.422977224699999,4.625484313,7.422977224699999,299.8793989
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-physical-platinum-shares-etf,Abrdn Physical Platinum Shares ETF,FALSE,PPLT,BFXL9P2,ETF 1x,Regional,None,USD,16.39,12.348,16.39,0%,0,0,266826,12.12987006,9.138476846520001,12.12987006,0
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-physical-palladium-shares-etf,abrdn Physical Palladium Shares ETF,FALSE,PALL,BFXL9K7,ETF 1x,ETC - Metals,None,USD,23.94,20.784,23.94,0%,0,0,174177,17.71745511,15.381770552159999,17.71745511,0
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-physical-silver-shares-etf,Abrdn Physical Silver Shares ETF,FALSE,SIVR,BFZ02J2,ETF 1x,ETC - Metals,None,USD,61.76,39.17,61.76,0%,0,0,219152,45.707185782399996,28.988835283300002,45.707185782399996,0
