URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Exchange,Country,Indices,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-info-tech-esg-screene,Xtrackers  MSCI Europe Info Technology ESG Screened UCITS ETF  (XS8R),True,XS8R,B39DXG7,ETF 1x,ESG,London Stock Exchange,,,GBX,11737,8313,11871,0%,0,0,16,117.37,83.13,118.71000000000001,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-financials-esg-screen,Xtrackers  MSCI Europe Financials ESG Screened UCITS ETF  (XS7R),True,XS7R,B39DXD4,ETF 1x,ESG,London Stock Exchange,,,GBX,4055.75,3110,4093,0%,0,0,66,40.5575,31.1,40.93,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-utilities-esg-screene,Xtrackers  MSCI Europe Utilities ESG Screened UCITS ETF 1C  (XS6R),True,XS6R,B39DXH8,ETF 1x,Utilities,London Stock Exchange,,,GBX,10850,9970,11680,0%,0,0,180,108.5,99.7,116.8,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-x-msci-eu-materials-esg-ucits-etf,Xtrackers  X MSCI EU Materials ESG UCITS ETF  (XSPR),True,XSPR,B39DX89,ETF 1x,ESG,London Stock Exchange,,,GBX,13798,11320,13830,0%,0,0,164,137.98,113.2,138.3,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-index-ucits-dr,Xtrackers  MSCI Europe Index UCITS ETF (DR) 1C  (XMEU),True,XMEU,B1WG983,ETF 1x,Regional,London Stock Exchange,,,GBX,7445,6363,7482,0%,0,0,2748,74.45,63.63,74.82000000000001,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-dax-ucits-etf-dr-1c,Xtrackers  DAX UCITS ETF (DR) 1C  (XDAX),True,XDAX,BYX5678,ETF 1x,Index,London Stock Exchange,,,GBX,14520,12024,14532,0%,0,0,3539,145.20000000000002,120.24000000000001,145.32,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-communication-service,Xtrackers  MSCI Europe Comm Services ESG Screened UCITS ETF  (XSKR),True,XSKR,B39DXF6,ETF 1x,ESG,London Stock Exchange,,,GBX,5965,5486.5,6427,0%,0,0,400,59.65,54.865,64.27,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-japan-index-ucits-dr,Xtrackers  MSCI Japan Index UCITS ETF (DR)  (XMJD),True,XMJD,B24CWK9,ETF 1x,Regional,London Stock Exchange,,,USD,79.97,63.82,82.97,0%,0,0,718,62.730930385914085,50.06237310527744,65.08422276002615,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-industrial-esg-scree,Xtrackers  MSCI Europe Industrial ESG Screened UCITS ETF 1C  (XSNR),True,XSNR,B39DXT0,ETF 1x,ESG,London Stock Exchange,,,GBX,13808,10813,13829,0%,0,0,207,138.08,108.13,138.29,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-x-msci-uk-esg-ucits-etf-dr,Xtrackers  X MSCI UK ESG UCITS ETF (DR)  (XASX),True,XASX,B1WK2H5,ETF 1x,ESG,London Stock Exchange,,,GBX,372.95,353.55,403.9,0%,0,0,9030,3.7295,3.5355000000000003,4.039,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-esg-ucits-etf-1c,Xtrackers  MSCI Europe ESG UCITS ETF 1C  (XZEU),True,XZEU,BF2L4L4,ETF 1x,ESG,London Stock Exchange,,,GBX,2546.5,2153,2553,0%,0,0,2,25.465,21.53,25.53,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-japan-ucits-etf-2d-hedged,Xtrackers  MSCI Japan UCITS ETF 2D Hedged (USD)  (XMUJ),True,XMUJ,BCBV5C2,ETF 1x,Regional,London Stock Exchange,,,USD,41.13,27.18,42.37,0%,0,0,2504,32.26363844907648,21.320828909455354,33.23633263037613,0
